time_s,phase,right_shoulder_pitch_joint_q_rad,right_shoulder_roll_joint_q_rad,right_shoulder_yaw_joint_q_rad,right_elbow_joint_q_rad,right_wrist_roll_joint_q_rad,right_wrist_pitch_joint_q_rad,right_wrist_yaw_joint_q_rad,right_shoulder_pitch_joint_qd_rad_s,right_shoulder_roll_joint_qd_rad_s,right_shoulder_yaw_joint_qd_rad_s,right_elbow_joint_qd_rad_s,right_wrist_roll_joint_qd_rad_s,right_wrist_pitch_joint_qd_rad_s,right_wrist_yaw_joint_qd_rad_s,right_shoulder_pitch_joint_qdd_rad_s2,right_shoulder_roll_joint_qdd_rad_s2,right_shoulder_yaw_joint_qdd_rad_s2,right_elbow_joint_qdd_rad_s2,right_wrist_roll_joint_qdd_rad_s2,right_wrist_pitch_joint_qdd_rad_s2,right_wrist_yaw_joint_qdd_rad_s2
0.145,WINDUP,-0.5362958330902864,-0.596010161359904,0.6688666300097413,-0.01967802754770544,-0.006964820368768995,0.0020405267660590517,0.6957175183492489,0.5586068312188996,-0.08539991968306015,0.3287680705859053,-0.30427619667166905,-0.3157061433310295,-0.6460489930669231,-0.07753981358338269,4.090400457594789,-0.13821370912436848,3.013183220557103,-1.5058965339838748,-3.49988751496757,-5.2963057842911665,-0.7936040089395746
0.15,WINDUP,-0.5334516268980692,-0.5964388971616932,0.670548160550837,-0.021218253849074886,-0.008587122474708185,-0.0012559760124610819,0.6953198928294484,0.5786011219683362,-0.0858703507344516,0.34375488160547363,-0.3113468449986386,-0.3333065538849238,-0.6721565898785214,-0.08151241398239861,3.9008938720030972,-0.048753761305864174,2.977450540553317,-1.3192595498958903,-3.5364783358035945,-5.138258533093875,-0.7943769449902938
0.155,WINDUP,-0.530509821870603,-0.5968688648672485,0.6723041788257961,-0.022791495997691827,-0.010297885907618234,-0.004681039132726164,0.6949023942094249,0.5976157699389306,-0.0858874572961188,0.35854257599143846,-0.31746879217062796,-0.3510709266890654,-0.6974315783978619,-0.08548358303328563,3.6991514038331452,0.04279210222168928,2.9334819859827554,-1.1271249197316757,-3.5651665439552613,-4.963599493272485,-0.7929613101098631
0.16,WINDUP,-0.5274754691986799,-0.5972977717346544,0.6741335863107514,-0.024392941770781166,-0.01209783174159884,-0.0082302917964397,0.6944650569991155,0.6155926360066677,-0.0854424297122347,0.3730897014653012,-0.3226180941959554,-0.3689582193244764,-0.7217925848112463,-0.08944202708349724,3.486392254403725,0.1357696844694889,2.8811685977747636,-0.9309070532845243,-3.585335364007791,-4.773021002613375,-0.789216817437266
0.165,WINDUP,-0.5243538955105363,-0.5977232891643709,0.6760350758404491,-0.02601767693965138,-0.013987468100862998,-0.011898964980838627,0.6940079739385899,0.6324796924829679,-0.08452976045142391,0.3873542619691861,-0.3267778627034732,-0.38692428032914333,-0.7451617884239956,-0.09337575120765829,3.2638388807781915,0.22951447039676331,2.820404690642153,-0.7320084722763465,-3.5963624831478858,-4.56725332074056,-0.7830045562751131
0.17,WINDUP,-0.5211506722738503,-0.5981430693391686,0.6780071289304432,-0.027660720397815898,-0.015967074544890273,-0.015681909680679656,0.693531299487039,0.6482310248144496,-0.08314728500826707,0.4012937483717227,-0.32993817891871885,-0.4049218441559553,-0.7674651180186519,-0.09727207264624838,3.032711156483181,0.3233559515436468,2.7510935434937878,-0.531809422410906,-3.5976291552524406,-4.347066932886867,-0.7741895814350475
0.175,WINDUP,-0.5178715852623919,-0.5985547620144536,0.6800480133241663,-0.02931705872883857,-0.01803668654242255,-0.019573616161025147,0.6930352532121274,0.6628068040477997,-0.08129620093598744,0.414865197404124,-0.33209595692758226,-0.42290057188166774,-0.7886324577528643,-0.10111764702200876,2.794220542786663,0.41662203910108886,2.673152966541359,-0.33165802222796525,-3.5885293557783746,-4.113274032794445,-0.7626434226171153
0.18,WINDUP,-0.5145226042333723,-0.5989560313485285,0.6821557809044845,-0.03098167996709172,-0.02019608026370695,-0.0235682342582083,0.6925201230168189,0.6761732302423162,-0.07898106461725618,0.4280252780371363,-0.3332547591409985,-0.44080713771373903,-0.8085978583465964,-0.10489850687241953,2.5495643229578313,0.508643545744647,2.586520676387538,-0.13286103306225927,-3.5684789034834017,-3.866729135918079,-0.7482464904551289
0.185,WINDUP,-0.5111098529599687,-0.5993445726606261,0.6843282661045377,-0.032649606320248555,-0.02244475791955994,-0.02765959474449111,0.6919862681434032,0.688302447277378,-0.07620976547854097,0.44073040416799936,-0.33342456725820485,-0.45858536091650176,-0.8272997491120451,-0.10860011192656005,2.299919952435392,0.5987587153055696,2.4911594114562785,0.06332467912272821,-3.536924461951496,-3.6083287926795493,-0.7308903571245917
0.19,WINDUP,-0.5076395797605985,-0.5997181290033139,0.6865630849461645,-0.03431592563967377,-0.024781933872871968,-0.03184123174932875,0.6914341218975533,0.6991724297666702,-0.07299347746420048,0.4529368721516991,-0.3326215123497712,-0.476176382333254,-0.8446811462733919,-0.11220741044366545,2.046439578378134,0.6863177775928708,2.3870617229215796,0.25569993404677693,-3.4933523317837167,-3.3390103922502634,-0.7104798902413112
